clear 맑은
clean 깨끗한
deep 깊은
own 자기자신의
cheap 값싼
certain 확실한
important 중요한
stormy 폭풍의
true 진실한
sad 슬픈
gay 명랑한
merry 즐거운
colorful 다채로운
wonderful 놀랄만한
peaceful 평화로운
angry 성난
dry 마른
wrong 나쁜
heavy 무거운
quiet 조용한
several 여럿의
alone 홀로
crowded 붐비는
excited 흥분한
alive 살아있는
brown 갈색의
different 다른
difficult 어려운
interesting 재미있는
unlike 같지않은
least 가장적은
afraid 무서워하여
cool 서늘한
pretty 예쁜
kind 친절한
sick 병든
useless 쓸모없는
busy 바쁜
early 일찍이
past 과거의
dark 어두운
cloudy 구름이낀
short 짧은
low 낮은
sincerely 성실히
fortunately 운좋게
finally 최후로
immediately 곧
especially 특별히
else 그밖에
actually 실제로
hardly 거의~아니다
otherwise 다른방법으로
tightly 단단히
recently 최근에
rapidly 빨리
however 아무리~해도
politely 공손히
rudely 무례하게
further 더욱이
frankly 솔직히
properly 적당히
haste 급함
rather 오히려
together 함께
altogether 전혀
suddenly 갑자기
mostly 대개는
correctly 정확히
ahead 앞으로
instead 대신에
quite 아주
nearly 거의
badly 나쁘게
almost 거의
exactly 정확히
apart 떨어져서
afterward 후에
later 후에
maybe 아마
perhaps 아마
probably 아마
either ~도또한~하지않다
neigher ~도아니고~도아니다
besides 게다가
anyway 어쨌든
sometime 언젠가
forward 앞쪽에
since 그후
once 한번
twice 두번
indeed 참으로
seldom 좀처럼~하지않다
whether ~인지어떤지
unless ~하지않으면
though 비록~일지라도
while ~하는동안
usually 보통
safely 안전하게
along ~을따라서
without ~없이
behind ~의뒤에
beyond ~의저쪽에
